epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,2.000000e-05,4.5927,4.4592,0.0914,0.2403,102.4
2,4.000000e-05,4.2966,3.3626,0.3188,0.6358,93.1
3,6.000000e-05,3.7542,2.3821,0.5106,0.7908,93.2
4,8.000000e-05,3.4003,1.9044,0.5995,0.8457,93.0
5,1.000000e-04,3.2019,1.6417,0.6515,0.8809,93.5
6,1.000000e-04,3.0911,1.4900,0.6881,0.8997,93.5
7,9.960968e-05,2.9807,1.3957,0.7072,0.9088,92.7
8,9.844487e-05,2.9280,1.3431,0.7257,0.9170,93.1
9,9.652394e-05,2.8957,1.2796,0.7377,0.9209,93.3
10,9.387718e-05,2.8486,1.2739,0.7472,0.9229,93.5
11,9.054634e-05,2.8236,1.2181,0.7518,0.9288,93.3
12,8.658395e-05,2.7718,1.2040,0.7632,0.9315,93.9
13,8.205249e-05,2.7573,1.1928,0.7671,0.9331,93.6
14,7.702343e-05,2.7485,1.1931,0.7715,0.9340,93.1
15,7.157607e-05,2.7175,1.1724,0.7783,0.9368,93.3
16,6.579634e-05,2.6785,1.1088,0.7806,0.9368,93.7
17,5.977538e-05,2.6695,1.2238,0.7817,0.9362,94.2
18,5.360813e-05,2.6629,1.2010,0.7863,0.9386,93.2
19,4.739187e-05,2.6449,1.1269,0.7892,0.9395,92.8
20,4.122462e-05,2.6355,1.0636,0.7908,0.9405,92.3
21,3.520366e-05,2.6240,1.1385,0.7925,0.9407,93.8
22,2.942393e-05,2.6051,1.0623,0.7933,0.9426,93.0
23,2.397657e-05,2.6155,1.1494,0.7950,0.9436,92.6
24,1.894751e-05,2.6035,1.0425,0.7976,0.9431,92.9
25,1.441605e-05,2.5843,1.0629,0.7979,0.9434,93.1
26,1.045366e-05,2.6004,1.1111,0.7983,0.9446,92.9
27,7.122819e-06,2.5908,1.0979,0.7991,0.9440,92.6
28,4.476064e-06,2.5697,1.0880,0.8016,0.9456,94.2
29,2.555134e-06,2.5914,1.1109,0.7989,0.9448,93.3
30,1.390322e-06,2.6043,1.1322,0.8005,0.9442,93.2
