epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,2.000000e-05,4.5820,4.4044,0.1067,0.2796,95.8
2,4.000000e-05,4.2973,3.3995,0.2995,0.5954,87.0
3,6.000000e-05,3.8250,2.5213,0.4668,0.7571,87.2
4,8.000000e-05,3.5088,2.0623,0.5595,0.8168,87.2
5,1.000000e-04,3.3204,1.7468,0.6125,0.8541,87.4
6,1.000000e-04,3.2068,1.5991,0.6498,0.8805,87.6
7,9.960968e-05,3.0898,1.4915,0.6705,0.8919,88.0
8,9.844487e-05,3.0465,1.4424,0.6921,0.8998,89.2
9,9.652394e-05,3.0130,1.3837,0.7047,0.9071,89.0
10,9.387718e-05,2.9691,1.3679,0.7163,0.9081,87.9
11,9.054634e-05,2.9485,1.3319,0.7240,0.9126,88.3
12,8.658395e-05,2.8839,1.2879,0.7306,0.9182,88.3
13,8.205249e-05,2.8734,1.3063,0.7336,0.9179,87.4
14,7.702343e-05,2.8736,1.2826,0.7390,0.9192,86.6
15,7.157607e-05,2.8421,1.2867,0.7452,0.9191,87.2
16,6.579634e-05,2.8045,1.2036,0.7535,0.9220,87.6
17,5.977538e-05,2.7989,1.2953,0.7563,0.9218,86.9
18,5.360813e-05,2.7856,1.2657,0.7566,0.9233,87.4
19,4.739187e-05,2.7784,1.1988,0.7642,0.9283,88.0
20,4.122462e-05,2.7679,1.1435,0.7678,0.9282,86.9
21,3.520366e-05,2.7517,1.2146,0.7658,0.9275,88.5
22,2.942393e-05,2.7379,1.1564,0.7696,0.9316,87.1
23,2.397657e-05,2.7485,1.2086,0.7690,0.9303,87.1
24,1.894751e-05,2.7292,1.1127,0.7721,0.9311,86.9
25,1.441605e-05,2.7144,1.1424,0.7735,0.9312,87.2
26,1.045366e-05,2.7278,1.2051,0.7724,0.9314,87.7
27,7.122819e-06,2.7179,1.1538,0.7729,0.9307,88.0
28,4.476064e-06,2.7012,1.1866,0.7741,0.9321,86.8
29,2.555134e-06,2.7344,1.1770,0.7758,0.9314,87.9
30,1.390322e-06,2.7334,1.2061,0.7743,0.9300,86.9
