epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,2.000000e-05,4.5949,4.4892,0.0668,0.2062,94.6
2,4.000000e-05,4.3904,3.7261,0.2462,0.5215,87.9
3,6.000000e-05,3.9617,2.8357,0.4066,0.7010,89.3
4,8.000000e-05,3.6602,2.3356,0.4958,0.7684,88.8
5,1.000000e-04,3.4696,1.9424,0.5699,0.8281,88.9
6,1.000000e-04,3.3390,1.7586,0.6158,0.8537,89.9
7,9.960968e-05,3.2117,1.6414,0.6384,0.8704,89.0
8,9.844487e-05,3.1575,1.5916,0.6511,0.8756,89.7
9,9.652394e-05,3.1290,1.4952,0.6713,0.8879,90.3
10,9.387718e-05,3.0831,1.4532,0.6785,0.8931,89.3
11,9.054634e-05,3.0646,1.4116,0.6952,0.8986,89.4
12,8.658395e-05,3.0004,1.3952,0.6943,0.9009,89.4
13,8.205249e-05,2.9848,1.3939,0.7028,0.9055,87.9
14,7.702343e-05,2.9906,1.3735,0.7114,0.9083,90.4
15,7.157607e-05,2.9641,1.3596,0.7184,0.9119,90.6
16,6.579634e-05,2.9220,1.3088,0.7278,0.9127,89.3
17,5.977538e-05,2.9128,1.3670,0.7250,0.9145,89.0
18,5.360813e-05,2.9041,1.3229,0.7300,0.9159,89.4
19,4.739187e-05,2.8930,1.2931,0.7320,0.9178,88.7
20,4.122462e-05,2.8814,1.2451,0.7340,0.9204,89.8
21,3.520366e-05,2.8663,1.3097,0.7361,0.9200,89.7
22,2.942393e-05,2.8508,1.2255,0.7422,0.9224,89.2
23,2.397657e-05,2.8659,1.2862,0.7385,0.9213,89.5
24,1.894751e-05,2.8531,1.2067,0.7398,0.9230,89.5
25,1.441605e-05,2.8409,1.2255,0.7394,0.9236,89.6
26,1.045366e-05,2.8513,1.2799,0.7419,0.9226,90.5
27,7.122819e-06,2.8418,1.2564,0.7417,0.9224,90.0
28,4.476064e-06,2.8295,1.2359,0.7451,0.9224,89.7
29,2.555134e-06,2.8554,1.2659,0.7430,0.9237,90.3
30,1.390322e-06,2.8611,1.2925,0.7390,0.9215,89.3
